 ENERGY  IQ     X       Y      U      V      W     ZLAST   WEIGHT   LATCH1       LATCH2
 11.515  -1  -1.352   3.567  0.020  0.044  0.999   0.000 1.000E+00  00000 000000001000000001111110
  5.628  -1 -11.232  12.611 -0.422  0.546  0.724   0.000 1.000E+00  00000 000000101100000001111110
 11.551  -1   0.193  -3.516 -0.026 -0.033  0.999   0.000 1.000E+00  00000 000000001000000001111110
  6.529  -1  -3.732 -13.131 -0.037 -0.259  0.965   0.000 1.000E+00  00000 000000101100000001111110
  0.236   0 -21.601   1.021 -0.321 -0.053  0.946  51.071 1.000E+00  01110 001000001100000001111111
  4.869  -1 -27.360  28.965 -0.416  0.436  0.798  54.118 1.000E+00  00000 000000101100000001111110
 11.074  -1   3.902  -0.850  0.069  0.005  0.998   0.000 1.000E+00  00000 000000001000000001111110
  6.781  -1   1.390   0.507 -0.040  0.057  0.998   0.000 1.000E+00  00000 000000001100000001111110
 11.145  -1  -0.820  -4.120  0.016 -0.045  0.999   0.000 1.000E+00  00000 000000001000000001111110
  2.934   0   0.958   9.541  0.009  0.214  0.977  81.296 1.000E+00  01110 000000001100000001111111
  9.759  -1  -0.032   0.856 -0.083 -0.144  0.986   0.000 1.000E+00  00000 000000001100000001111110
  7.596  -1  -3.497   5.677 -0.052  0.257  0.965   0.000 1.000E+00  00000 000000101100000001111110
  0.070   0  -0.475   6.280  0.272  0.304  0.913  98.195 1.000E+00  01110 000000001100000001111111
  2.166   0   0.265   6.180  0.424  0.268  0.865  98.573 1.000E+00  01110 000000001100000001111111
  0.049   0   1.166   5.952  0.588  0.193  0.786  98.822 1.000E+00  01110 000000001100000001111111
  0.032   0 -32.049 -34.186 -0.670 -0.570  0.475  77.297 1.000E+00  01110 000000001100000001111111
  8.012  -1 -27.093  34.327 -0.291  0.393  0.872   0.000 1.000E+00  00000 000000101100000001111110
  0.037   0  -0.755 -13.371  0.005 -0.295  0.956  74.939 1.000E+00  01110 000000001100000001111111
  3.181  -1  -6.142 -24.776 -0.165 -0.681  0.713  74.939 1.000E+00  00000 000000101100000001111110
  9.898  -1   0.280   0.934  0.001 -0.012  1.000   0.000 1.000E+00  00000 000000001000000001111110
  9.319  -1   0.943   4.012  0.065  0.101  0.993   0.000 1.000E+00  00000 000000001000000001111110
 10.977  -1   0.573  -4.345  0.010 -0.077  0.997   0.000 1.000E+00  00000 000000001000000001111110
  4.180  -1   3.679 -18.696  0.070 -0.415  0.907   0.000 1.000E+00  00000 000000101100000001111110
  4.609   0 -11.695 -20.804 -0.119 -0.255  0.960  37.648 1.000E+00  01110 000000001100000001111111
  3.465  -1 -30.182 -18.129 -0.298 -0.177  0.938  37.648 1.000E+00  00000 000000101100000001111110
  3.738  -1  46.874  -0.073  0.842  0.082  0.534   0.000 1.000E+00  00000 000000101100000001111110
 10.834  -1   2.202   1.722  0.056 -0.004  0.998   0.000 1.000E+00  00000 000000001000000001111110
  0.062   0  -0.968  -4.160  0.289  0.005  0.957  96.039 1.000E+00  00110 000000001100000001111111
 10.957  -1  -2.378  -2.611  0.072 -0.004  0.997   5.158 1.000E+00  00000 000000001000000001111110
  7.157  -1 -23.255 -16.847 -0.388 -0.301  0.871   0.000 1.000E+00  00000 000000101100000001111110
  0.234   0   2.469   7.513 -0.080  0.431  0.899  94.880 1.000E+00  01110 000000001100000001111111
  5.795  -1   4.697   5.065  0.238  0.098  0.966  94.880 1.000E+00  00000 000000101100000001111110
 11.101  -1   0.379   0.707  0.090 -0.007  0.996   0.000 1.000E+00  00000 000000001000000001111110
  0.479   0  -5.998   2.403 -0.301  0.050  0.952  98.038 1.000E+00  01110 000000001100000001111111
  3.457  -1  -4.155   1.196  0.203 -0.429  0.880  98.038 1.000E+00  00000 000000001100000001111110
 11.501  -1  -2.873   0.756 -0.026  0.028  0.999   0.000 1.000E+00  00000 000000001000000001111110
  9.367  -1  -3.472   1.550  0.003  0.040  0.999   0.000 1.000E+00  00000 000000001100000001111110
 10.993  -1   3.603  -1.873  0.057  0.001  0.998   0.000 1.000E+00  00000 000000001000000001111110
  0.726   0 -35.010  -8.717 -0.620 -0.085  0.780  62.128 1.000E+00  01110 000000001100000001111111
  0.543   0  12.461   2.449  0.304  0.067  0.950  47.907 1.000E+00  01110 000000001100000001111111
  0.788  -1 -17.426  45.066 -0.370  0.853  0.368  47.907 1.000E+00  00000 000000101100000001111110
 11.327  -1   2.389  -1.076  0.006  0.001  1.000   0.000 1.000E+00  00000 000000001000000001111110
 11.557  -1  -0.713  -4.648 -0.009 -0.020  1.000   0.000 1.000E+00  00000 000000001000000001111110
  0.189   0  10.441   9.370  0.089  0.112  0.990  37.428 1.000E+00  01110 000000001100000001111111
  3.883  -1  21.544  13.570  0.324  0.297  0.898   0.000 1.000E+00  00000 000011101100000001111110
  9.426   0  -1.470   2.296 -0.015  0.020  1.000   2.148 1.000E+00  00001 000000001000000000000011
  0.210   0   4.320 -11.419  0.061 -0.145  0.988  57.828 1.000E+00  01110 000000001100000001111111
  4.283  -1  -5.082 -16.560 -0.108 -0.343  0.933  57.828 1.000E+00  00000 000000101100000001111110
  9.999  -1  -1.808  -3.156  0.059 -0.041  0.997   0.000 1.000E+00  00000 000000001100000001111110
