#le 19/11/96. 6+. Source: Audimétrie CIM	
#Attention il faut avoir des Tab comme separateur meme pour les titres
Time	RTBF1	RTL-TVI	CLUB-RTL	21	TF1	France2	France3	TOTAL-TV
18:45	4.97	5.84	1.85	1.5	3.81	1.47	4.2	33.03
18:46	4.97	5.8	1.92	1.3	4.23	1.79	3.39	33.18
18:47	4.8	6.39	2.12	1.36	4.41	1.8	3.27	33.14
18:48	5.29	5.06	2.21	1.53	5.06	2.21	2.87	33.01
18:49	4.64	5.33	2.21	2.25	5.09	2.33	2.43	33.14
18:50	4.6	6.58	2.33	1.72	4.77	2.4	2.28	33.12
18:51	5.87	6.69	2.57	1.33	4.87	2.28	1.65	33.31
18:52	5.95	7.18	2.2	1.43	4.84	2.35	1.69	33.43
18:53	5.93	7.62	2.21	1.27	4.95	2.57	1.39	33.75
18:54	5.97	7.86	2.21	1.25	4.99	2.73	1.32	34.04
18:55	6.13	8.25	2.25	1.4	4.82	2.8	1.32	34.5
18:56	6.21	8.73	2.24	1.32	4.9	2.73	1.32	34.68
18:57	6.14	9.41	2.24	1.17	4.79	2.53	1.22	35.83
18:58	6.2	10.5	2.28	1.17	3.11	2.9	1.52	36.22
18:59	5.39	12.02	2.53	0.93	2.63	2.73	1.62	36.81
19:00	4.74	15.18	2.39	0.48	2.28	2.65	1.44	37.39
19:01	4.01	17.39	2.36	0.43	2.49	2.64	1.3	38.12
19:02	4.46	18.86	1.11	0.27	2.48	2.57	1.02	37.94
19:03	4.35	19.17	0.85	0.26	2.46	2.57	0.97	37.79
19:04	4.49	19.65	0.65	0.25	2.44	2.56	1.01	38.05
19:05	3.97	20.24	0.63	0.1	2.43	2.59	0.97	38.52
19:06	2.67	21.27	0.6	0.2	2.37	2.62	0.93	38.7
19:07	2.77	22.69	0.58	0	2.33	2.65	0.8	38.99
19:08	2.71	23.22	0.66	0	2.39	2.24	0.8	39.07
19:09	2.65	24.22	0.75	0	2.26	2.44	0.8	40.07
19:10	2.64	24.66	0.96	0	2.35	2.09	0.8	40.55
19:11	2.97	25.58	0.96	0.1	2.88	0.77	0.59	40.78
19:12	2.76	26.08	0.96	0	3.05	0.67	0.59	40.87
19:13	2.78	26.21	0.96	0.03	3.08	0.71	0.59	41.09
19:14	2.86	26.24	0.96	0.05	3.05	0.67	0.6	41.28
19:15	2.73	26.41	0.96	0.05	3.05	0.67	0.61	41.33
19:16	2.74	26.41	0.96	0.05	3.17	0.69	0.51	41.3
19:17	2.79	26.7	0.96	0.05	3.24	1.17	0.41	42.05
19:18	2.81	27.66	0.96	0.05	3.08	0.57	0.41	42.22
19:19	2.52	27.82	0.92	0.1	3.18	0.67	0.41	42.32
19:20	2.32	27.8	0.88	0.26	3.31	0.61	0.41	42.33
19:21	2.26	27.78	0.88	0.34	2.92	0.9	0.33	42.34
19:22	2.43	27.77	0.88	0.31	2.85	0.76	0.3	42.49
19:23	2.5	27.88	0.88	0.26	2.87	0.76	0.31	42.93
19:24	2.9	28.12	0.88	0.26	2.63	0.77	0.28	43.55
19:25	3.42	27.81	0.84	0.11	2.65	1.06	0.35	43.77
19:26	3.94	27.39	0.84	0.13	2.69	1.11	0.33	44.09
19:27	4.42	27.25	0.91	0.05	2.81	1.04	0.27	44.25
19:28	5.26	26.46	0.75	0.05	2.96	0.96	0.2	44.11
19:29	6.23	25.07	0.75	0.37	3.13	0.69	0.47	44.33
19:30	8.27	23.16	1.05	0.21	2.69	0.79	0.24	44.46
19:31	9.67	22.23	1.01	0.05	2.85	0.65	0.21	44.76
19:32	10.03	22.01	0.74	0.1	3.1	0.63	0.2	44.95
19:33	10.81	21.14	0.66	0.1	3.11	0.59	0.29	45.14
19:34	12.3	19.26	0.61	0.07	3.27	0.65	0.17	45.37
19:35	12.94	18.23	0.64	0.08	3.22	0.94	0.22	45.41
19:36	14.33	16.8	0.71	0.08	3	1.1	0.33	45.79
19:37	14.74	16.06	0.65	0.13	2.53	1.16	0.33	46
19:38	15.34	15.97	0.52	0.27	2.47	1.12	0.17	45.98
19:39	16.69	14.13	0.69	0.19	3.06	1.22	0.12	46.44
19:40	18.11	11.96	0.62	0.19	2.96	1.63	0.1	46.52
19:41	18.15	11.76	0.55	0.24	2.71	1.9	0.03	46.58
19:42	18.38	11.47	0.42	0.22	3.04	1.63	0.07	46.74
19:43	18.48	11.09	0.43	0.23	3.35	1.79	0.1	46.62
19:44	18.31	11.02	0.4	0.2	3.32	1.84	0.13	46.6
19:45	18.62	10.88	0.4	0.28	3.37	1.95	0.13	46.79
19:46	19.11	10.43	0.4	0.32	3.17	2.03	0.17	46.94
19:47	19.37	9.41	0.5	0.32	3.18	2.4	0.49	46.84
19:48	19.33	9.19	1.01	0.61	3.08	2.04	0.2	46.7
19:49	20.18	8.91	1.21	0.48	3.07	1.72	0.2	46.63
19:50	20.42	8.57	1.21	0.3	3.32	1.92	0.2	46.66
19:51	20.3	9.2	1.21	0.5	2.17	2.04	0.15	47.03
19:52	21.19	8.97	1.21	0.44	1.74	2.15	0.24	47.34
19:53	21.45	8.91	1.21	0.57	1.7	2.9	0.1	47.47
19:54	21.57	9.07	1.21	0.59	1.8	2.85	0.19	47.48
19:55	21.95	9.21	1.21	0.69	1.81	1.63	0.47	47.77
19:56	23.16	9.85	1.23	0.67	1.65	0.46	0.43	47.99
19:57	22.14	10.13	1.24	0.68	1.79	0.51	0.39	47.85
19:58	22.24	9.89	1.23	0.85	2.01	0.39	0.22	47.83
19:59	21.99	9.97	1.23	0.85	2.19	0.42	0.37	47.76
20:00	22.01	9.25	1.31	0.72	2.64	0.76	0.33	47.67
20:01	21.36	8.24	1.63	1.17	2.58	0.62	0.61	48.15
20:02	21.24	8.64	1.47	1.27	2.78	0.78	0.6	48.28
20:03	20.46	8.39	1.45	1.49	2.14	1.03	0.73	47.49
20:04	20.06	8.42	1.45	1.07	1.88	1.25	0.69	47.24
20:05	18.53	8.75	1.37	0.98	2.47	1.33	0.98	47.23
20:06	18.74	8.32	1.45	0.75	2.35	1.42	1.3	47
20:07	17.23	8.11	1.37	1.32	2.29	1.6	1.86	46.81
20:08	16.3	7.71	1.56	1.57	2.81	1.64	2.73	46.84
20:09	15.68	7.71	1.77	1.56	2.62	1.98	3.21	46.89
20:10	15.57	7.62	1.66	1.64	2.65	1.81	3.24	46.96
20:11	15.58	7.31	1.69	1.8	2.64	1.73	2.96	46.89
20:12	15.37	6.93	1.65	1.78	2.91	1.59	3.36	46.87
20:13	12.75	7.79	1.48	1.68	3.8	1.59	3.91	46.62
20:14	9.42	9.06	1.27	1.6	4.54	1.49	4.9	46.44
20:15	8.75	9.13	1.45	1.36	3.81	1.94	5.02	46.25
20:16	7.45	10.45	1.46	0.69	4.43	1.65	5.35	46.19
20:17	7.56	9.52	1.84	0.68	4.27	1.7	5.63	45.91
20:18	6.68	10.4	1.13	0.75	4.7	1.62	5.71	45.9
20:19	6.35	10.59	1.11	0.77	4.61	1.58	5.68	45.98
20:20	5.82	11.3	1.15	0.7	3.77	1.78	6.27	46.18
20:21	5.8	11.09	1.04	0.86	3.25	1.92	6.18	45.59
20:22	5.79	11.25	0.98	0.82	3.2	1.87	6.17	45.23
20:23	5.53	11.41	0.96	0.72	3.39	2.01	6.65	45.54
20:24	5.38	11.19	0.96	0.71	3.54	1.9	7.25	45.58
20:25	5.77	11.73	0.96	0.68	3.87	1.99	6.45	45.75
20:26	6.63	11.75	1.05	0.91	4.06	1.97	4.61	45.67
20:27	7.46	12.01	1.29	0.81	4.11	2.11	3.14	45.59
20:28	7.74	12	1.07	0.8	4.06	2.33	3.15	45.7
20:29	7.64	12.29	0.95	0.74	3.6	2.69	3.25	45.82
